"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jan 22 04:11:14 UTC 2024","Mon Jan 22 04:11:15 UTC 2024","1063","","20. Admin Portal - Check details","","","","6. Check Account Settings & History (Data Snapshots)",""
"passed","Mon Jan 22 04:08:53 UTC 2024","Mon Jan 22 04:08:55 UTC 2024","2384","","19. Look Up Investment Account","","","","3. Search Account ID 445",""
"passed","Mon Jan 22 04:59:59 UTC 2024","Mon Jan 22 05:00:02 UTC 2024","2820","","23. Change Portfolio for Interactive Brokers","","","","3. Direct user to “Build Your Portfolio”",""
"passed","Mon Jan 22 02:51:50 UTC 2024","Mon Jan 22 02:52:43 UTC 2024","52712","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","12. Add another investor in Applicants",""
"passed","Mon Jan 22 02:40:15 UTC 2024","Mon Jan 22 02:40:32 UTC 2024","16882","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","1. Validate login credentials",""
"passed","Mon Jan 22 03:28:31 UTC 2024","Mon Jan 22 03:28:49 UTC 2024","17949","","11. Client Portal - Administration","","","","4. Check Administration Page",""
"passed","Mon Jan 22 02:51:39 UTC 2024","Mon Jan 22 02:51:42 UTC 2024","2594","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","8. Navigate from Applicants to Bank Details",""
"passed","Mon Jan 22 02:32:49 UTC 2024","Mon Jan 22 02:33:08 UTC 2024","19354","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","1. Validate login credentials",""
"passed","Mon Jan 22 02:46:52 UTC 2024","Mon Jan 22 02:46:52 UTC 2024","427","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","9. Review Final Review",""
"passed","Mon Jan 22 03:28:30 UTC 2024","Mon Jan 22 03:28:31 UTC 2024","371","","11. Client Portal - Administration","","","","3. Check Upload Verification Documents",""
"passed","Mon Jan 22 02:52:43 UTC 2024","Mon Jan 22 02:52:44 UTC 2024","1600","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","13. Review Final Review",""
"passed","Mon Jan 22 02:51:42 UTC 2024","Mon Jan 22 02:51:46 UTC 2024","4154","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","9. Complete Bank Details",""
"passed","Mon Jan 22 03:51:38 UTC 2024","Mon Jan 22 03:51:49 UTC 2024","10933","","13. Client Portal - Change Portfolio","","","","1. Direct user to “Your Account(s)” page",""
"passed","Mon Jan 22 02:44:56 UTC 2024","Mon Jan 22 02:45:17 UTC 2024","20760","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","4. Complete Risk Profile",""
"passed","Mon Jan 22 02:41:10 UTC 2024","Mon Jan 22 02:41:17 UTC 2024","6593","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","6. Complete Super Fund Entry",""
"passed","Mon Jan 22 04:08:28 UTC 2024","Mon Jan 22 04:08:43 UTC 2024","14929","","19. Look Up Investment Account","","","","1. Log in using manager login",""
"passed","Mon Jan 22 02:42:34 UTC 2024","Mon Jan 22 02:42:43 UTC 2024","8876","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","9. Complete Insurance Quote",""
"passed","Mon Jan 22 02:42:34 UTC 2024","Mon Jan 22 02:42:34 UTC 2024","383","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","8. Navigate to Insurance Quote",""
"passed","Mon Jan 22 03:57:35 UTC 2024","Mon Jan 22 03:57:39 UTC 2024","3909","","16. Nucleus Wealth Wordpress Site","","","","2. Visit Investment Options",""
"passed","Mon Jan 22 04:30:00 UTC 2024","Mon Jan 22 04:30:16 UTC 2024","15510","","22. Individual Onboarding for Interactive Brokers","","","","1. Log into user with IB access",""
"passed","Mon Jan 22 02:58:00 UTC 2024","Mon Jan 22 02:58:06 UTC 2024","5120","","6. Company Account","","","","3. Complete Investment Choice",""
"passed","Mon Jan 22 04:12:44 UTC 2024","Mon Jan 22 04:12:52 UTC 2024","7942","","21. Forgot password function","","","","1. Direct to forgot password page",""
"passed","Mon Jan 22 03:52:18 UTC 2024","Mon Jan 22 03:53:07 UTC 2024","48257","","13. Client Portal - Change Portfolio","","","","6. Submit Change",""
"passed","Mon Jan 22 02:55:06 UTC 2024","Mon Jan 22 02:55:17 UTC 2024","10488","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","4. Complete Build Your Portfolio",""
"passed","Mon Jan 22 05:00:10 UTC 2024","Mon Jan 22 05:00:31 UTC 2024","20984","","23. Change Portfolio for Interactive Brokers","","","","5. Complete Build Your Portfolio",""
"passed","Mon Jan 22 04:59:34 UTC 2024","Mon Jan 22 04:59:55 UTC 2024","21454","","23. Change Portfolio for Interactive Brokers","","","","1. Log into user with IB access and direct user to “Your Account(s)” page",""
